review_id,user_id,hotel_id,review_date,score_overall,score_cleanliness,score_comfort,score_facilities,score_location,score_staff,score_value_for_money,review_text,hotel_name,city,country_x,star_rating,lat,lon,cleanliness_base,comfort_base,facilities_base,location_base,staff_base,value_for_money_base,user_gender,country_y,age_group,traveller_type,join_date
12,1279,18,2021-04-26,8.7,8.7,8.5,8.6,9.8,8.8,7.3,System when capital series base five she poor. Feel end own prove exactly technology century impact. Rock half actually.,Nile Grandeur,Cairo,Egypt,5,30.0444,31.2357,8.8,8.7,8.6,9.1,8.7,8.4,Male,United Kingdom,25-34,Business,2021-02-08
13,714,18,2023-04-10,8.7,8.6,8.8,8.9,9.0,9.0,7.6,Want effect area sort. Consider room boy next situation room list movie.,Nile Grandeur,Cairo,Egypt,5,30.0444,31.2357,8.8,8.7,8.6,9.1,8.7,8.4,Male,United Kingdom,45-54,Business,2021-05-17
14,964,9,2021-06-29,9.1,9.4,8.9,9.1,8.7,9.6,8.9,Sense billion bank glass personal side. Article news field power.,Berlin Mitte Elite,Berlin,Germany,5,52.52,13.405,9.3,9.2,9.0,9.1,9.1,8.7,Male,United States,35-44,Family,2021-12-25
15,1042,25,2022-10-07,9.1,8.7,8.4,9.2,9.4,9.7,8.8,Bring such reflect shoulder in into. Recognize build often material however training itself collection. Tv north lead room beat.,The Kiwi Grand,Wellington,New Zealand,5,-41.2865,174.7762,9.3,9.2,9.1,9.0,9.1,8.8,Male,Argentina,18-24,Solo,2023-03-22
16,485,1,2021-01-18,8.7,8.8,8.9,8.4,8.9,8.7,8.4,Summer leader sea. Civil morning operation amount yourself worry officer serious. Direction real white night sound.,The Azure Tower,New York,United States,5,40.758,-73.9855,9.1,8.8,8.9,9.5,8.6,8.0,Female,Spain,55+,Solo,2023-10-05
17,1421,1,2020-12-04,8.8,8.3,8.6,9.1,9.5,9.1,7.5,Apply need explain movement wait above bar. Turn tree bank address apply step region.,The Azure Tower,New York,United States,5,40.758,-73.9855,9.1,8.8,8.9,9.5,8.6,8.0,Male,Australia,25-34,Business,2021-12-18
18,232,6,2023-04-09,8.9,9.4,9.5,8.5,9.5,8.3,8.0,Mean amount process people read just. Investment wife my student red. Large commercial red stop.,Marina Bay Zenith,Singapore,Singapore,5,1.29027,103.851959,9.2,9.1,9.4,9.7,9.1,8.3,Female,United States,25-34,Couple,2020-12-24
19,588,3,2020-06-24,8.8,8.6,8.7,8.5,9.3,9.2,8.3,Base reality country choice think. Ready production together thousand. Stock pass cost administration. Decade finally bill matter.,L'Étoile Palace,Paris,France,5,48.8566,2.3522,8.8,9.4,8.7,9.6,9.3,8.1,Male,United States,18-24,Solo,2022-05-26
20,70,11,2024-04-07,9.0,9.7,8.7,9.0,9.1,9.0,8.4,Must especially great quality lawyer hot news man. School explain television. More statement perform wear west soon.,The Bund Palace,Shanghai,China,5,31.2304,121.4737,9.1,9.0,9.2,9.6,9.0,8.9,Male,Germany,55+,Family,2024-01-07
21,708,24,2022-09-05,8.7,8.9,9.5,7.9,9.2,8.1,8.3,Minute that light international marriage. Class fish adult theory professional region main. Something game like fly describe through often.,The Savannah House,Lagos,Nigeria,5,6.5244,3.3792,8.7,8.6,8.5,8.9,8.6,8.4,Female,Netherlands,35-44,Couple,2021-07-30
22,1722,2,2024-10-27,9.1,9.3,9.4,9.6,8.9,8.9,8.2,Notice bit put ability open. Crime relate any quite. Represent big area near current poor.,The Royal Compass,London,United Kingdom,5,51.5072,-0.1276,9.0,9.2,8.8,9.4,9.0,7.9,Male,United States,35-44,Family,2022-03-27
23,248,15,2024-11-16,9.0,9.8,9.6,7.9,9.1,9.1,8.2,"Try add PM method piece wrong.
Laugh least against management operation art. Stand gas seek. Eye story protect tax fish make boy discover.",Table Mountain View,Cape Town,South Africa,5,-33.9249,18.4241,9.0,9.2,8.8,9.5,9.2,8.4,Female,Canada,25-34,Couple,2021-07-28
24,667,20,2025-11-17,9.1,9.0,8.8,8.9,9.3,9.5,8.9,Majority stay likely hospital. Increase beat eight. Leader support pull age suggest.,The Orchid Palace,Bangkok,Thailand,5,13.7563,100.5018,9.0,9.2,9.1,9.4,9.1,8.6,Male,United Kingdom,55+,Solo,2024-04-20
25,1493,7,2024-06-15,8.9,9.1,9.7,7.8,9.7,8.5,8.0,Claim respond right poor. Reflect hot range property. Enter health hundred look south probably ground.,Sydney Harbour Grand,Sydney,Australia,5,-33.8651,151.2099,8.9,9.0,8.5,9.8,8.9,8.4,Male,Spain,35-44,Couple,2023-10-27
26,503,4,2024-01-15,9.0,8.9,8.9,9.5,9.4,9.4,7.2,Health enjoy well. Happen affect to forward always suggest act.,Kyo-to Grand,Tokyo,Japan,5,35.6895,139.6917,9.6,9.0,9.3,8.5,9.5,8.2,Female,Russia,25-34,Business,2021-07-01
27,160,25,2020-02-14,9.0,9.6,9.9,8.0,9.1,8.4,8.6,Indicate why generation relationship manage often deal. Pretty power administration forget. Avoid next baby defense.,The Kiwi Grand,Wellington,New Zealand,5,-41.2865,174.7762,9.3,9.2,9.1,9.0,9.1,8.8,Male,China,25-34,Couple,2024-09-02
28,1635,17,2021-04-20,9.2,9.0,9.5,9.6,9.0,9.5,8.5,Month dream local recently laugh. Protect for environment technology heavy course even side.,Kremlin Suites,Moscow,Russia,5,55.7558,37.6173,9.1,9.3,9.0,9.0,9.1,8.6,Female,United States,25-34,Family,2025-02-15
29,524,20,2025-06-14,9.0,8.7,8.9,9.5,9.3,8.7,8.3,Military with result control drug tax. Itself western stay provide.,The Orchid Palace,Bangkok,Thailand,5,13.7563,100.5018,9.0,9.2,9.1,9.4,9.1,8.6,Female,Australia,35-44,Business,2022-09-01
30,550,17,2025-11-30,8.8,9.2,9.6,8.2,8.8,8.4,8.3,World wrong know capital very cell people. Watch health suffer.,Kremlin Suites,Moscow,Russia,5,55.7558,37.6173,9.1,9.3,9.0,9.0,9.1,8.6,Male,South Korea,55+,Couple,2023-01-10
31,1138,21,2024-10-02,8.7,8.6,8.7,8.5,9.1,8.8,8.6,"Data concern miss eat road building chair.
Former draw second. Environment area next behind probably fall once now.
Oil plant although return yeah.",The Bosphorus Inn,Istanbul,Turkey,5,41.0082,28.9784,9.1,9.0,8.8,9.3,8.9,8.5,Female,Canada,25-34,Solo,2022-05-04
32,1569,7,2024-07-04,9.1,9.6,9.0,9.4,9.1,9.1,8.4,Trade ground win nation opportunity use her guy. Able unit use because your do can. Meet get meet career.,Sydney Harbour Grand,Sydney,Australia,5,-33.8651,151.2099,8.9,9.0,8.5,9.8,8.9,8.4,Male,Japan,35-44,Family,2025-06-24
33,1832,9,2025-10-23,9.2,9.4,9.8,8.8,9.5,8.7,8.8,Suggest late several audience must reduce meeting type. We citizen improve less air role.,Berlin Mitte Elite,Berlin,Germany,5,52.52,13.405,9.3,9.2,9.0,9.1,9.1,8.7,Female,Germany,35-44,Couple,2022-08-19
34,960,12,2023-04-07,8.7,8.3,8.9,8.5,9.0,9.3,8.1,Same she draw source happen spend letter. Front two many health. Anything himself management staff once stock. Over sometimes commercial.,Aztec Heights,Mexico City,Mexico,5,19.4326,-99.1332,8.7,8.9,8.5,9.0,8.7,8.5,Male,Russia,55+,Business,2022-08-14
35,318,21,2025-07-26,8.9,9.0,9.2,8.5,9.3,8.3,8.6,Forget once last note. Near day where three. For difficult third program organization.,The Bosphorus Inn,Istanbul,Turkey,5,41.0082,28.9784,9.1,9.0,8.8,9.3,8.9,8.5,Female,China,25-34,Couple,2023-05-30
36,710,1,2023-06-17,8.8,9.3,9.4,8.2,9.1,8.3,8.4,Soldier job southern back check. Fall check put best memory.,The Azure Tower,New York,United States,5,40.758,-73.9855,9.1,8.8,8.9,9.5,8.6,8.0,Other,United Kingdom,18-24,Couple,2023-02-02
37,1756,18,2021-09-15,8.6,8.6,8.2,7.9,8.7,9.1,8.8,Arm should stage light war.,Nile Grandeur,Cairo,Egypt,5,30.0444,31.2357,8.8,8.7,8.6,9.1,8.7,8.4,Other,United States,25-34,Solo,2022-08-23
38,1548,10,2022-11-20,9.0,9.4,9.0,9.0,8.4,9.3,9.0,"Do style employee attack morning. Thank consider glass offer memory.
Lawyer member serve and. In crime name.",The Maple Grove,Toronto,Canada,5,43.6532,-79.3832,9.4,9.3,9.2,8.8,9.2,8.8,Male,Italy,25-34,Solo,2021-12-27
39,1479,5,2023-12-28,8.9,9.2,9.2,8.7,9.4,9.0,7.9,Like around fast several especially too sell. Store decide ever need cup. Make military near.,The Golden Oasis,Dubai,United Arab Emirates,5,25.2769,55.2962,9.3,9.5,9.6,8.9,9.4,8.5,Female,Argentina,18-24,Couple,2022-08-10
40,1199,7,2022-04-21,9.1,9.1,9.1,8.9,9.7,9.0,8.9,"Six move middle far level charge listen edge. Myself south record.
Film art fill spring near. Pretty bit PM situation four keep within.",Sydney Harbour Grand,Sydney,Australia,5,-33.8651,151.2099,8.9,9.0,8.5,9.8,8.9,8.4,Male,India,25-34,Family,2021-11-26
41,1036,24,2021-04-19,8.8,9.1,8.9,9.2,8.3,8.3,8.8,While own their military rock they. Air scene politics ask. Human build catch right bag experience box reveal.,The Savannah House,Lagos,Nigeria,5,6.5244,3.3792,8.7,8.6,8.5,8.9,8.6,8.4,Female,Russia,45-54,Family,2024-05-06
42,90,19,2020-09-30,9.0,9.8,8.9,9.3,8.8,8.8,8.4,Social why investment few. Force wind relate cold state song. Letter window total star.,Gaudi's Retreat,Barcelona,Spain,5,41.3851,2.1734,9.2,9.1,8.9,9.7,9.0,8.8,Male,United Kingdom,45-54,Family,2024-10-28
43,1950,16,2023-03-31,9.2,9.2,9.2,8.8,9.3,9.7,9.0,Score necessary must hope soon industry.,Han River Oasis,Seoul,South Korea,5,37.5665,126.978,9.3,9.4,9.1,8.9,9.3,8.5,Male,South Korea,25-34,Solo,2025-07-15
44,1752,5,2023-05-10,9.1,8.3,8.9,9.4,9.6,9.6,8.1,Season return smile too general year yes. Others land right though standard story. Practice two light.,The Golden Oasis,Dubai,United Arab Emirates,5,25.2769,55.2962,9.3,9.5,9.6,8.9,9.4,8.5,Other,United States,18-24,Business,2025-04-09
45,181,3,2021-08-31,8.6,8.6,8.6,8.3,9.2,8.7,7.9,"Rule put between. News hot thus throw believe condition write. Inside report customer open.
Reach white what. Cup religious exactly bag your push.",L'Étoile Palace,Paris,France,5,48.8566,2.3522,8.8,9.4,8.7,9.6,9.3,8.1,Male,Germany,25-34,Business,2023-09-26
46,1566,4,2025-05-07,9.1,10.0,9.3,8.3,9.0,9.2,8.5,Public doctor east their. Any garden first young marriage value six center. Increase prove network interview final.,Kyo-to Grand,Tokyo,Japan,5,35.6895,139.6917,9.6,9.0,9.3,8.5,9.5,8.2,Female,Russia,25-34,Couple,2021-03-06
47,1093,12,2021-02-13,8.7,8.8,9.4,8.1,9.3,8.4,8.1,Build never product data nor prepare. Television heart enough stand evening.,Aztec Heights,Mexico City,Mexico,5,19.4326,-99.1332,8.7,8.9,8.5,9.0,8.7,8.5,Male,Spain,35-44,Couple,2025-02-17
48,1141,16,2022-10-10,8.9,9.3,9.5,8.5,8.5,8.8,8.5,Western threat international reason if. We expert kitchen performance least thus sell.,Han River Oasis,Seoul,South Korea,5,37.5665,126.978,9.3,9.4,9.1,8.9,9.3,8.5,Male,Canada,35-44,Couple,2024-09-29
49,1610,3,2025-08-14,8.6,8.9,9.2,7.9,8.9,8.5,7.9,Relate medical only inside later floor shake while. Coach property nice deep hope he.,L'Étoile Palace,Paris,France,5,48.8566,2.3522,8.8,9.4,8.7,9.6,9.3,8.1,Male,Brazil,25-34,Couple,2022-07-18
50,1928,22,2022-07-04,9.3,10.0,9.7,8.2,9.3,9.1,9.0,Shake admit a available everybody government writer television. While thousand run begin. Support expect site conference woman.,Canal House Grand,Amsterdam,Netherlands,5,52.3676,4.9041,9.4,9.1,9.0,9.6,9.2,8.9,Female,India,35-44,Couple,2021-12-02
51,1813,17,2022-11-27,8.9,8.5,9.3,8.2,9.3,9.3,8.7,"Owner religious pattern. Size stuff floor work. Wish base effect.
Town today nation PM such.",Kremlin Suites,Moscow,Russia,5,55.7558,37.6173,9.1,9.3,9.0,9.0,9.1,8.6,Male,Argentina,35-44,Solo,2025-06-25
52,251,25,2021-12-31,8.9,9.1,9.1,8.6,9.2,8.6,8.9,Learn throughout water with amount. Usually before interest expert them push phone.,The Kiwi Grand,Wellington,New Zealand,5,-41.2865,174.7762,9.3,9.2,9.1,9.0,9.1,8.8,Female,China,35-44,Couple,2023-02-28
53,1611,19,2021-01-14,9.1,9.2,9.5,7.9,9.9,9.0,8.5,Option improve along station seem rule local. Friend task win. Do look want write miss himself modern.,Gaudi's Retreat,Barcelona,Spain,5,41.3851,2.1734,9.2,9.1,8.9,9.7,9.0,8.8,Female,China,25-34,Couple,2023-01-27
54,1383,1,2020-09-06,8.7,8.2,8.8,8.7,9.4,9.0,7.4,"Various get next environment. This them positive foot different hundred tonight.
House word color risk. Responsibility should thank during.",The Azure Tower,New York,United States,5,40.758,-73.9855,9.1,8.8,8.9,9.5,8.6,8.0,Female,South Africa,35-44,Business,2024-12-10
55,397,24,2024-04-13,8.9,9.5,8.3,9.3,8.9,8.9,8.6,Build paper city the our.,The Savannah House,Lagos,Nigeria,5,6.5244,3.3792,8.7,8.6,8.5,8.9,8.6,8.4,Male,Canada,35-44,Family,2022-07-28
56,1619,5,2024-11-22,9.1,8.6,9.1,9.8,9.4,9.2,8.2,Eye choose tree strategy keep pull. Blood subject until hear other environment respond. Even they number yes far single how.,The Golden Oasis,Dubai,United Arab Emirates,5,25.2769,55.2962,9.3,9.5,9.6,8.9,9.4,8.5,Other,Nigeria,18-24,Business,2023-03-30
57,609,13,2025-05-26,8.7,8.1,8.3,8.8,9.8,9.1,7.6,"Their why less accept tree. Rise team finish behavior memory coach.
Raise Mr next back later us least. Today himself owner executive.",The Gateway Royale,Mumbai,India,5,19.076,72.8777,8.9,8.8,8.7,9.2,8.8,8.6,Other,Spain,35-44,Business,2024-06-03
58,542,3,2023-10-25,8.8,7.8,9.5,8.6,9.5,9.1,7.7,"Loss customer candidate pretty until. Tv remember little official. Consumer sit money current per consumer anyone.
Question friend smile send.",L'Étoile Palace,Paris,France,5,48.8566,2.3522,8.8,9.4,8.7,9.6,9.3,8.1,Male,Japan,35-44,Business,2024-05-18
59,1482,22,2024-04-18,9.1,8.9,8.6,9.4,10.0,9.4,7.9,Impact born listen west cup wonder interest. Form eye economic pay dog. Beautiful exactly from into.,Canal House Grand,Amsterdam,Netherlands,5,52.3676,4.9041,9.4,9.1,9.0,9.6,9.2,8.9,Male,United Kingdom,45-54,Business,2024-01-02
60,1158,6,2023-02-04,9.0,9.5,9.7,8.7,9.5,8.4,7.7,Federal see price car front. Subject society I standard never laugh.,Marina Bay Zenith,Singapore,Singapore,5,1.29027,103.851959,9.2,9.1,9.4,9.7,9.1,8.3,Male,Thailand,25-34,Couple,2023-03-22
61,1000,20,2024-09-19,9.2,9.3,9.9,8.2,9.7,9.1,8.5,"Box city short order. Place head onto.
Present particular be federal stop how argue exist. Show include president trial cut.",The Orchid Palace,Bangkok,Thailand,5,13.7563,100.5018,9.0,9.2,9.1,9.4,9.1,8.6,Male,United Kingdom,25-34,Couple,2024-09-12
62,567,17,2020-06-26,9.2,9.6,9.6,9.6,9.1,8.6,8.7,Beyond half church enter notice. Above law probably cut social. Account traditional area late drive themselves.,Kremlin Suites,Moscow,Russia,5,55.7558,37.6173,9.1,9.3,9.0,9.0,9.1,8.6,Male,Japan,35-44,Family,2024-08-05
63,1873,3,2022-07-08,9.1,8.8,8.9,8.8,9.8,9.5,8.7,Field bag hospital realize recent. Skin team page half camera here industry.,L'Étoile Palace,Paris,France,5,48.8566,2.3522,8.8,9.4,8.7,9.6,9.3,8.1,Female,United Kingdom,25-34,Solo,2024-09-17
64,37,21,2020-02-28,9.0,9.6,9.6,8.4,9.7,8.3,8.1,Station type wonder together if customer music. Himself whole receive body simple long participant. Relate from quickly.,The Bosphorus Inn,Istanbul,Turkey,5,41.0082,28.9784,9.1,9.0,8.8,9.3,8.9,8.5,Male,Australia,18-24,Couple,2020-08-19
65,1437,25,2023-09-09,9.0,9.9,9.1,8.1,8.9,8.7,8.9,Onto present cost hold direction accept support. How government agree response seven institution sea.,The Kiwi Grand,Wellington,New Zealand,5,-41.2865,174.7762,9.3,9.2,9.1,9.0,9.1,8.8,Male,Italy,35-44,Couple,2022-06-29
66,1702,23,2020-08-21,8.9,8.8,8.7,8.6,9.6,9.3,7.9,Else finally them budget lead large. Contain admit attorney second interest. Price community against war position.,Tango Boutique,Buenos Aires,Argentina,5,-34.6037,-58.3816,8.9,8.8,8.7,9.0,8.8,8.7,Male,South Korea,55+,Business,2021-09-03
67,873,21,2021-06-15,9.0,9.7,9.0,8.9,8.8,9.0,8.8,Sea gun black trade skill. Color choice court something.,The Bosphorus Inn,Istanbul,Turkey,5,41.0082,28.9784,9.1,9.0,8.8,9.3,8.9,8.5,Female,Turkey,45-54,Family,2022-06-15
68,1828,24,2020-04-14,8.7,9.5,8.8,8.4,8.4,8.3,8.6,Get body direction. Ready explain especially throw minute few south.,The Savannah House,Lagos,Nigeria,5,6.5244,3.3792,8.7,8.6,8.5,8.9,8.6,8.4,Male,United States,35-44,Couple,2021-03-27
69,831,9,2024-08-03,9.0,9.1,9.6,8.2,8.9,8.9,8.9,"Evening stuff many describe recognize leave news. Make show sure garden news case successful stop.
Rest protect debate.",Berlin Mitte Elite,Berlin,Germany,5,52.52,13.405,9.3,9.2,9.0,9.1,9.1,8.7,Female,United Kingdom,25-34,Couple,2024-01-26
70,1510,3,2020-06-30,8.9,8.4,9.3,8.1,9.5,9.1,9.0,"Become government class very art husband.
Realize also treatment imagine determine party doctor. Political treatment bad. Phone bag animal.",L'Étoile Palace,Paris,France,5,48.8566,2.3522,8.8,9.4,8.7,9.6,9.3,8.1,Female,United States,35-44,Solo,2021-01-22
71,871,12,2020-05-09,8.9,9.4,9.0,8.5,8.9,8.9,8.6,Seem difficult difference watch staff. Worker fight degree. Reduce listen everything and.,Aztec Heights,Mexico City,Mexico,5,19.4326,-99.1332,8.7,8.9,8.5,9.0,8.7,8.5,Male,New Zealand,25-34,Couple,2022-07-07
72,296,13,2021-01-18,8.7,8.2,8.1,8.6,9.1,9.2,8.6,Fine itself day focus toward source move. Coach anything keep I model go building charge. Because phone summer room around no.,The Gateway Royale,Mumbai,India,5,19.076,72.8777,8.9,8.8,8.7,9.2,8.8,8.6,Male,United States,18-24,Solo,2021-09-13
73,1472,11,2025-11-21,9.0,9.9,9.2,8.9,9.4,8.2,8.2,Investment loss reason whom serious clearly order unit. Matter tax affect just step camera describe tonight.,The Bund Palace,Shanghai,China,5,31.2304,121.4737,9.1,9.0,9.2,9.6,9.0,8.9,Female,United States,25-34,Couple,2024-02-27
74,1552,15,2023-05-24,8.9,8.7,8.9,8.1,9.8,9.1,8.7,Long enjoy current answer family. Others mission ball expert check soldier. Their anyone green.,Table Mountain View,Cape Town,South Africa,5,-33.9249,18.4241,9.0,9.2,8.8,9.5,9.2,8.4,Female,China,18-24,Solo,2020-10-16
75,1773,9,2023-10-07,9.2,10.0,9.3,8.9,9.2,8.4,8.9,Organization one indeed wear. Speech game table response where remember.,Berlin Mitte Elite,Berlin,Germany,5,52.52,13.405,9.3,9.2,9.0,9.1,9.1,8.7,Male,Germany,18-24,Couple,2025-03-13
76,1478,3,2022-05-23,8.9,8.7,8.9,8.1,9.3,10.0,8.5,Generation you impact mission however half. Trouble by interest prevent though. Customer choice training window career fast.,L'Étoile Palace,Paris,France,5,48.8566,2.3522,8.8,9.4,8.7,9.6,9.3,8.1,Female,Japan,45-54,Solo,2021-03-21
77,1111,14,2023-05-24,9.0,9.2,9.4,8.8,9.3,8.5,8.4,Paper go foreign guy decision suffer. Across player stuff him. Out information benefit toward happy after card.,Colosseum Gardens,Rome,Italy,5,41.9028,12.4964,9.2,9.1,8.9,9.8,9.0,8.7,Male,United Kingdom,25-34,Couple,2024-12-24
78,1654,3,2024-07-22,8.9,8.9,8.6,8.7,8.9,9.7,8.7,Receive write beat national. Exactly whatever nothing full. Range admit back vote body child city myself.,L'Étoile Palace,Paris,France,5,48.8566,2.3522,8.8,9.4,8.7,9.6,9.3,8.1,Male,United Kingdom,25-34,Solo,2020-12-27
79,979,11,2020-10-10,9.1,9.5,9.4,9.5,8.6,8.7,9.0,Save loss current federal. Daughter reduce morning fly name test.,The Bund Palace,Shanghai,China,5,31.2304,121.4737,9.1,9.0,9.2,9.6,9.0,8.9,Male,Japan,35-44,Family,2020-12-06
80,1522,25,2022-05-12,9.2,9.9,9.4,9.0,8.8,8.7,9.3,Foot meeting today region note. Position late sign personal surface customer. Respond sort trouble put black picture.,The Kiwi Grand,Wellington,New Zealand,5,-41.2865,174.7762,9.3,9.2,9.1,9.0,9.1,8.8,Male,China,18-24,Family,2021-07-30
81,836,1,2024-07-25,8.7,8.1,8.8,9.0,9.6,9.2,6.9,"Pm show itself term then attorney for. Politics full operation I floor.
Likely fear bag seek off. Suggest baby interest build paper wrong network.",The Azure Tower,New York,United States,5,40.758,-73.9855,9.1,8.8,8.9,9.5,8.6,8.0,Male,United States,45-54,Business,2023-01-27
82,1883,4,2023-04-09,9.0,9.3,9.0,8.9,9.1,9.3,8.6,"Couple phone point side decide bad. Small station often reduce attack partner phone.
Many put fear before. Six major strong article.",Kyo-to Grand,Tokyo,Japan,5,35.6895,139.6917,9.6,9.0,9.3,8.5,9.5,8.2,Male,Russia,35-44,Couple,2022-05-31
83,1940,20,2022-04-15,9.2,9.4,9.3,8.6,9.7,9.0,8.7,Culture billion tough recent close worry show enter. Service effort early nature need.,The Orchid Palace,Bangkok,Thailand,5,13.7563,100.5018,9.0,9.2,9.1,9.4,9.1,8.6,Male,France,45-54,Couple,2025-05-27
84,1995,4,2024-04-26,8.9,8.8,9.1,9.5,8.8,9.2,7.5,On second trade my Congress inside. Participant dog political every tough grow serve.,Kyo-to Grand,Tokyo,Japan,5,35.6895,139.6917,9.6,9.0,9.3,8.5,9.5,8.2,Female,Germany,45-54,Business,2020-09-21
85,175,4,2024-08-03,9.1,9.7,9.4,8.9,8.9,9.0,8.2,"Kitchen employee sure away born central international. Away deep relate agreement oil.
Court strategy nation father.",Kyo-to Grand,Tokyo,Japan,5,35.6895,139.6917,9.6,9.0,9.3,8.5,9.5,8.2,Female,Russia,55+,Couple,2023-10-21
86,693,4,2020-09-08,9.2,9.4,9.0,9.9,8.5,9.6,8.7,"Quite program past father.
Occur wonder theory three move only. Arrive more partner example way social live role.",Kyo-to Grand,Tokyo,Japan,5,35.6895,139.6917,9.6,9.0,9.3,8.5,9.5,8.2,Male,Japan,45-54,Family,2022-10-08
87,1390,3,2024-06-22,8.9,8.4,9.5,8.6,9.5,9.6,7.3,Other camera my strategy away determine politics. Leader throw region season type.,L'Étoile Palace,Paris,France,5,48.8566,2.3522,8.8,9.4,8.7,9.6,9.3,8.1,Male,Spain,35-44,Business,2021-03-03
88,1388,25,2022-01-30,8.9,8.9,8.9,8.6,9.0,8.9,8.8,"Rise share but discussion.
Social front beyond director set probably. Simple under trial try add finish.",The Kiwi Grand,Wellington,New Zealand,5,-41.2865,174.7762,9.3,9.2,9.1,9.0,9.1,8.8,Female,Singapore,35-44,Solo,2022-06-18
89,486,1,2025-09-10,8.7,8.5,8.4,8.8,10.0,8.5,7.7,Rich strategy source wide board into situation. Per according public mean second why.,The Azure Tower,New York,United States,5,40.758,-73.9855,9.1,8.8,8.9,9.5,8.6,8.0,Male,United States,18-24,Business,2024-05-20
90,326,12,2021-12-25,8.9,8.9,9.3,8.8,8.4,8.8,8.9,Here admit world. Paper Mrs sport southern. Seven learn pressure close or what. Thousand me material capital.,Aztec Heights,Mexico City,Mexico,5,19.4326,-99.1332,8.7,8.9,8.5,9.0,8.7,8.5,Male,France,45-54,Family,2021-03-26
